filter,value#0,value#1,value#2,value#3,value#4,value#5,value#6,value#7,value#8,value#9,value#10,value#11,value#12,value#13,value#14,value#15,value#16,value#17,value#18,value#19,value#20,value#21,value#22,value#23,value#24,value#25,value#26,value#27,value#28,value#29,value#30,value#31,value#32,value#33,value#34,value#35,value#36,value#37,value#38,value#39,value#40,value#41,value#42,value#43,value#44,value#45,value#46,value#47,value#48,value#49,value#50,value#51,value#52,value#53,value#54,value#55,value#56,value#57,value#58,value#59,value#60,value#61,value#62,value#63,value#64,value#65,value#66,value#67,value#68,value#69,value#70,value#71,value#72,value#73,value#74,value#75,value#76,value#77,value#78,value#79,value#80,value#81,value#82,value#83,value#84,value#85,value#86,value#87,value#88,value#89,value#90,value#91,value#92
0.0,0.0,0.13573288917541504,0.2127174437046051,0.11404584348201752,0.1477600783109665,0.18092107772827148,0.22438079118728638,0.2922774851322174,0.24650128185749054,0.21994467079639435,0.36613231897354126,0.5145570039749146,0.6317360401153564,0.6346334218978882,0.4703505337238312,0.45060139894485474,0.625653862953186,0.8410077095031738,0.7962626218795776,0.43083417415618896,0.8219400644302368,0.8332761526107788,0.6004728674888611,0.3809230923652649,0.29914340376853943,0.47306427359580994,0.3301786780357361,0.33654457330703735,0.5827453136444092,0.44130420684814453,0.29735293984413147,0.30671343207359314,0.17107683420181274,0.1914740800857544,0.35830849409103394,0.6091766357421875,0.6203107833862305,0.6366093158721924,0.6780682802200317,0.585121214389801,0.2554764747619629,0.0,0.12486793100833893,0.27715805172920227,0.35243600606918335,0.4848897159099579,0.791977047920227,0.8128931522369385,0.665561318397522,0.7662938237190247,0.64845871925354,0.30906426906585693,0.13136601448059082,0.08634243905544281,0.09789364039897919,0.0,0.0,0.07047374546527863,0.46203434467315674,0.5503531694412231,0.47314780950546265,0.3592759370803833,0.7308206558227539,0.7935466766357422,0.9292092323303223,0.933576226234436,0.9432017803192139,1.0460213422775269,0.6853281259536743,0.5943840146064758,0.7236999273300171,0.6469161510467529,0.1404268741607666,0.0,0.7498270273208618,0.8791900873184204,0.31809139251708984,0.0,0.0,0.0,0.0,0.015433520078659058,0.0019497871398925781,0.0,0.0,0.0,0.05352891981601715,0.07525354623794556,0.08253547549247742,0.08195951581001282,0.08269818127155304,0.08322294056415558,0.08350276947021484
1.0,1.6704764366149902,1.9843226671218872,2.071359872817993,2.132890224456787,2.3055455684661865,2.342515468597412,2.3535079956054688,2.3505876064300537,2.294267416000366,2.2781689167022705,2.259464740753174,2.1144111156463623,1.8373738527297974,1.4583743810653687,1.129477858543396,0.9448086023330688,0.7599706053733826,0.4154903292655945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11390861868858337,0.5545921325683594,0.6070094704627991,0.5363582372665405,0.2767137289047241,0.2462206780910492,0.19653169810771942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7581599354743958,1.9824379682540894,2.7049877643585205,3.0165252685546875,3.2468297481536865,3.6171224117279053,4.042321681976318,4.292273044586182,4.388575077056885,4.432168483734131,4.459511756896973,4.480275630950928,4.502229690551758,4.522407054901123,4.539605617523193
2.0,1.6085916757583618,1.8124926090240479,1.859208345413208,2.0090670585632324,2.0716843605041504,2.147064208984375,2.148590087890625,2.0993218421936035,2.0760715007781982,2.066697597503662,2.026975631713867,1.8600670099258423,1.580491542816162,1.217204213142395,0.987940788269043,0.801572859287262,0.6314936876296997,0.2529207170009613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19196917116641998,0.5130395889282227,0.549521803855896,0.3785845637321472,0.22612355649471283,0.23992541432380676,0.06717152893543243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987998366355896,1.9825148582458496,2.521933078765869,2.7630536556243896,3.0294175148010254,3.410813331604004,3.7443792819976807,3.9321908950805664,4.009279251098633,4.046496391296387,4.069653511047363,4.090538024902344,4.109340667724609,4.127293586730957,4.142576217651367
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34251296520233154,0.8343372344970703,0.9783081412315369,1.3419283628463745,1.8879952430725098,2.0809340476989746,2.0857696533203125,1.934156894683838,1.8728668689727783,1.8737857341766357,1.641953945159912,1.6677807569503784,1.755515217781067,1.6241968870162964,1.4682632684707642,1.3629978895187378,1.1366283893585205,0.9654412269592285,1.1437500715255737,1.469708800315857,1.7488977909088135,2.1117451190948486,2.2924880981445312,2.236530303955078,1.9410561323165894,1.502913236618042,1.2256996631622314,1.1396832466125488,1.2306491136550903,1.6172107458114624,2.0760693550109863,2.377480983734131,2.794426441192627,2.9510247707366943,2.914551019668579,2.693469762802124,2.4031455516815186,2.003633737564087,1.4855382442474365,0.6688536405563354,0.0,0.0,0.01804482936859131,0.12646853923797607,0.09854128956794739,0.41039031744003296,0.9633405208587646,1.6003700494766235,2.2883591651916504,2.933680772781372,3.59008526802063,3.7531208992004395,3.6692874431610107,3.9384429454803467,4.062402248382568,3.918912172317505,3.208538770675659,2.7416036128997803,3.2125141620635986,3.1512176990509033,2.210927963256836,0.35968461632728577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5667207837104797,0.7567344307899475,1.1634889841079712,1.7913103103637695,1.9950833320617676,2.031078338623047,1.8946611881256104,1.768051028251648,1.7750309705734253,1.5617934465408325,1.5459538698196411,1.63804030418396,1.5269341468811035,1.3414665460586548,1.2535940408706665,0.9730125069618225,0.7494556903839111,0.9148926138877869,1.3111571073532104,1.6085264682769775,1.9833498001098633,2.2377331256866455,2.223921537399292,1.9229209423065186,1.426690697669983,1.0573852062225342,0.9593314528465271,1.0693104267120361,1.4954493045806885,1.9652063846588135,2.351468324661255,2.7936789989471436,2.979919672012329,3.027653694152832,2.7061049938201904,2.451613664627075,1.9757611751556396,1.3671327829360962,0.4893915057182312,0.0,0.0,0.0,0.0,0.0,0.043017297983169556,0.6747575402259827,1.4314411878585815,2.213071584701538,2.930830478668213,3.70222806930542,3.921438455581665,3.9238879680633545,4.094265937805176,4.396141052246094,4.053365707397461,3.467005729675293,2.725587844848633,3.2348523139953613,3.258345603942871,2.3926942348480225,0.23056183755397797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6289467811584473,1.0075674057006836,1.5219618082046509,2.20509934425354,2.6143720149993896,2.570530891418457,2.458049774169922,2.3235771656036377,2.24123215675354,2.0295534133911133,1.962957501411438,2.045964002609253,1.9690500497817993,1.727419376373291,1.5591269731521606,1.2828009128570557,0.9901455640792847,1.2100576162338257,1.6660010814666748,2.128960132598877,2.600482940673828,2.8611717224121094,2.8558924198150635,2.4624524116516113,1.8539730310440063,1.4089932441711426,1.2475554943084717,1.3862419128417969,1.9314402341842651,2.5205979347229004,3.107229232788086,3.584275960922241,3.8669512271881104,3.8847129344940186,3.625833034515381,3.123333692550659,2.533447504043579,1.7591603994369507,0.6174968481063843,0.0,0.0,0.0,0.0,0.0,0.06535285711288452,0.8688857555389404,1.8262180089950562,2.8308045864105225,3.854255437850952,4.776989936828613,4.997604846954346,5.111950874328613,5.2653584480285645,5.6138763427734375,5.310546398162842,4.448065757751465,3.6658101081848145,4.162409782409668,4.0474019050598145,2.898268938064575,0.3980095684528351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29927024245262146,0.9372642636299133,1.1580759286880493,1.7238774299621582,2.4033751487731934,2.7078616619110107,2.6932177543640137,2.487828254699707,2.4223783016204834,2.4030051231384277,2.0674617290496826,2.160668134689331,2.2106871604919434,2.0336122512817383,1.8636842966079712,1.699822187423706,1.4082374572753906,1.148085355758667,1.420379877090454,1.8302854299545288,2.2313995361328125,2.711043357849121,2.9486608505249023,2.924121141433716,2.5040149688720703,1.9053385257720947,1.5201985836029053,1.3921526670455933,1.5399112701416016,2.0930240154266357,2.669537305831909,3.117219924926758,3.6480164527893066,3.8756229877471924,3.8485939502716064,3.572042226791382,3.1140098571777344,2.58656644821167,1.8611078262329102,0.7138782143592834,0.0,0.0,0.0,0.0,0.0,0.3774138391017914,1.1255474090576172,2.02864408493042,2.965524673461914,3.8639473915100098,4.797362327575684,4.972373008728027,4.870389938354492,5.211074352264404,5.461550235748291,5.264019012451172,4.1888909339904785,3.6188814640045166,4.244744300842285,4.191585063934326,2.8370144367218018,0.3789491355419159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.2513373792171478,0.6347736120223999,0.7181911468505859,0.6433277130126953,0.7439289689064026,0.79383784532547,0.8419880270957947,0.90880286693573,0.8488287329673767,0.8159233927726746,0.9280321002006531,1.002388596534729,1.018458604812622,0.9650766849517822,0.7027648091316223,0.5808574557304382,0.6834681630134583,0.7658886909484863,0.6372050046920776,0.13311591744422913,0.3933962881565094,0.3835570216178894,0.0,0.0,0.0,0.0,0.0,0.0,0.08538967370986938,0.0,0.0,0.0,0.0,0.0,0.044312044978141785,0.26467519998550415,0.24548637866973877,0.11884517222642899,0.1209997683763504,0.0,0.0,0.0,0.0,0.0,0.0,0.09506252408027649,0.3027935326099396,0.263940691947937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09693818539381027,0.5000618696212769,0.5584049224853516,0.42209887504577637,0.25924035906791687,0.6051364541053772,0.6011696457862854,0.5100719332695007,0.3794684410095215,0.18521006405353546,0.11527898907661438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03996540606021881,0.0,0.0,0.0,0.0,0.5043070912361145,0.8421093225479126,0.8508245944976807,0.7125837206840515,0.9700960516929626,1.2406532764434814,1.3425439596176147,1.3791667222976685,1.3950774669647217,1.4008153676986694,1.4102404117584229,1.4163763523101807,1.4233229160308838
8.0,1.290116786956787,1.4247863292694092,1.4576951265335083,1.5830378532409668,1.6278425455093384,1.6889902353286743,1.6921814680099487,1.6581405401229858,1.630307674407959,1.6275218725204468,1.5903291702270508,1.4648419618606567,1.2466931343078613,0.9642124176025391,0.7691522836685181,0.6329270601272583,0.5011287927627563,0.2034773826599121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15587648749351501,0.39963269233703613,0.42896026372909546,0.3062386214733124,0.1780652105808258,0.1913638859987259,0.06856970489025116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992429733276367,1.5674421787261963,1.991937518119812,2.1774024963378906,2.3796119689941406,2.688218593597412,2.9520721435546875,3.096446990966797,3.157560110092163,3.1870198249816895,3.2053873538970947,3.222216844558716,3.236340045928955,3.2501108646392822,3.2629079818725586
9.0,2.060793161392212,2.1877501010894775,2.2566606998443604,2.4112119674682617,2.5096991062164307,2.553563117980957,2.5564210414886475,2.4960904121398926,2.4560914039611816,2.4581422805786133,2.384721040725708,2.157360076904297,1.7992584705352783,1.3752193450927734,1.1162985563278198,0.9749155044555664,0.7398792505264282,0.2361767590045929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49453306198120117,0.742135226726532,0.7230483889579773,0.48163238167762756,0.36549973487854004,0.3331485092639923,0.1601746678352356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12963667511940002,1.6036608219146729,2.6444995403289795,3.1273880004882812,3.325453281402588,3.6482906341552734,4.134110927581787,4.496712684631348,4.652198791503906,4.714879035949707,4.748410701751709,4.773252010345459,4.796011924743652,4.816883087158203,4.837643623352051,4.8549346923828125
