filter,value#0,value#1,value#2,value#3,value#4,value#5,value#6,value#7,value#8,value#9,value#10,value#11,value#12,value#13,value#14,value#15,value#16,value#17,value#18,value#19,value#20,value#21,value#22,value#23,value#24,value#25,value#26,value#27,value#28,value#29,value#30,value#31,value#32,value#33,value#34,value#35,value#36,value#37,value#38,value#39,value#40,value#41,value#42,value#43,value#44,value#45,value#46,value#47,value#48,value#49,value#50,value#51,value#52,value#53,value#54,value#55,value#56,value#57,value#58,value#59,value#60,value#61,value#62,value#63,value#64,value#65,value#66,value#67,value#68,value#69,value#70,value#71,value#72,value#73,value#74,value#75,value#76,value#77,value#78,value#79,value#80,value#81,value#82,value#83,value#84,value#85,value#86,value#87,value#88
0.0,0.9599682092666626,0.9769160747528076,0.9612327814102173,0.9404164552688599,0.9746888875961304,0.9715484380722046,0.9375256299972534,0.900031566619873,0.8465801477432251,0.8074255585670471,0.8289281129837036,0.7373648881912231,0.6378798484802246,0.7526442408561707,1.9995155334472656,3.7346646785736084,5.818314552307129,9.272467613220215,12.048895835876465,14.13525390625,15.57611083984375,15.767212867736816,15.434324264526367,14.48027515411377,13.849831581115723,13.695645332336426,13.1423978805542,12.616446495056152,12.062291145324707,10.850455284118652,9.34659194946289,8.740397453308105,9.025734901428223,10.11970329284668,12.303922653198242,14.689085960388184,16.352619171142578,16.788461685180664,15.654765129089355,13.684260368347168,11.50662899017334,10.001197814941406,10.130465507507324,11.753469467163086,14.27225399017334,17.380949020385742,20.221036911010742,22.110294342041016,22.768314361572266,22.0788631439209,20.201923370361328,17.12281036376953,12.89565658569336,8.7097806930542,5.075423240661621,2.2966902256011963,0.8203716278076172,0.6125565767288208,0.8588269352912903,2.5199522972106934,5.3639631271362305,9.51884937286377,14.801753997802734,20.399150848388672,24.974626541137695,28.10953712463379,30.498559951782227,31.92112159729004,32.121742248535156,30.701068878173828,28.561494827270508,27.222238540649414,25.590682983398438,22.76834487915039,18.14805030822754,13.59138011932373,8.058415412902832,3.409623861312866,1.6690115928649902,1.566455364227295,1.5390746593475342,1.583409309387207,1.5755232572555542,1.5993849039077759,1.5559338331222534,1.5163135528564453,1.524139165878296,1.5332913398742676,1.5381503105163574
1.0,9.312283515930176,10.113432884216309,10.412259101867676,10.649218559265137,10.799363136291504,10.892435073852539,10.974533081054688,10.753686904907227,10.243415832519531,9.573541641235352,8.796957015991211,7.937198638916016,6.933512210845947,5.317691802978516,2.835876941680908,1.3027615547180176,1.2065033912658691,0.14694814383983612,-0.6065161228179932,0.2921939790248871,2.0962281227111816,2.7958173751831055,2.2840094566345215,2.3426458835601807,2.4859111309051514,1.8463590145111084,1.6652485132217407,2.2157092094421387,2.480879306793213,2.570401430130005,2.691538095474243,2.0988311767578125,0.5924698114395142,-0.2652730941772461,-0.33178889751434326,0.04180076718330383,0.755776047706604,2.191106081008911,3.7792441844940186,4.179762363433838,3.344935894012451,2.0620641708374023,0.7300427556037903,-0.5565197467803955,-0.92388916015625,-0.37181371450424194,0.26624685525894165,1.0802063941955566,2.3733675479888916,3.58609938621521,4.22296667098999,4.530484676361084,5.710704326629639,6.469428062438965,5.594244480133057,3.541231870651245,2.605644702911377,2.7121996879577637,2.824197769165039,0.9820844531059265,-0.9536471366882324,-1.9438625574111938,-1.9260185956954956,-1.7653381824493408,-0.8011099100112915,1.3283395767211914,2.5499677658081055,2.1598193645477295,2.201812505722046,4.23692512512207,6.527830123901367,4.533513069152832,1.906550407409668,3.419546127319336,9.656904220581055,12.623217582702637,10.82235050201416,9.279631614685059,10.522603988647461,12.87006664276123,14.84721851348877,16.261245727539062,17.34988784790039,18.349714279174805,19.231769561767578,19.75023651123047,20.015254974365234,20.16144561767578,20.2620906829834
2.0,-1.3634727001190186,-1.4916291236877441,-1.5317280292510986,-1.5666874647140503,-1.6036839485168457,-1.6329652070999146,-1.6070088148117065,-1.5365300178527832,-1.4345216751098633,-1.3388633728027344,-1.2860676050186157,-1.1549694538116455,-0.9470188021659851,-0.6590292453765869,-0.6981707215309143,-0.8390417695045471,-0.7069854140281677,-0.9992027282714844,-1.1263248920440674,-0.9755013585090637,-1.1025469303131104,-1.1175671815872192,-1.1367504596710205,-1.1020574569702148,-0.9511793851852417,-1.0748403072357178,-1.0296552181243896,-0.8823723793029785,-0.899823009967804,-0.8481963872909546,-0.7036455273628235,-0.6934216618537903,-0.8693922162055969,-0.9134039282798767,-0.9505587220191956,-1.1218599081039429,-1.1728132963180542,-1.1821361780166626,-1.100570559501648,-0.9812877774238586,-0.9455090761184692,-0.8868653178215027,-0.8883596658706665,-1.0324729681015015,-1.1157917976379395,-1.183728575706482,-1.465814232826233,-1.5291327238082886,-1.5621439218521118,-1.5412367582321167,-1.4733836650848389,-1.3289481401443481,-1.1664716005325317,-0.8805404901504517,-0.7409393787384033,-0.7805240154266357,-0.49540674686431885,-0.41141384840011597,-0.34127670526504517,-0.5350752472877502,-0.762044370174408,-1.028117299079895,-1.3323551416397095,-1.577069878578186,-1.8338052034378052,-1.868050217628479,-2.001563310623169,-2.348813533782959,-2.349048614501953,-2.133539915084839,-1.8299987316131592,-2.0008437633514404,-2.226670980453491,-1.6962677240371704,-1.4870023727416992,-1.3840969800949097,-1.7239952087402344,-1.6909781694412231,-1.6209439039230347,-1.900970458984375,-2.1866374015808105,-2.3839004039764404,-2.542283058166504,-2.701784610748291,-2.8771450519561768,-2.9883828163146973,-3.031595468521118,-3.054647922515869,-3.0694024562835693
3.0,5.44192361831665,5.67655611038208,5.730545997619629,5.804078578948975,5.811279296875,5.807501792907715,5.712651252746582,5.3911237716674805,4.872747421264648,4.199774265289307,3.549306869506836,2.986670970916748,2.370363712310791,1.180282473564148,-1.1149630546569824,-2.5805165767669678,-3.2088046073913574,-4.397091388702393,-4.645053386688232,-3.1352224349975586,-1.1524512767791748,0.5260804295539856,1.128708004951477,1.372214913368225,1.394421100616455,0.7600768804550171,0.5316628813743591,0.9206439852714539,1.4300899505615234,1.9871553182601929,2.397275447845459,1.5423009395599365,-0.4506217837333679,-2.336481809616089,-3.4165871143341064,-3.4649674892425537,-2.255688190460205,-0.045380599796772,2.5265769958496094,4.14322566986084,3.9499526023864746,2.232649803161621,-0.4782310128211975,-2.9470152854919434,-4.166619777679443,-4.44602632522583,-3.9475080966949463,-2.4255154132843018,-0.22101572155952454,1.9893999099731445,3.7051315307617188,5.230068206787109,7.180479049682617,8.728571891784668,7.272354602813721,3.9765121936798096,1.4991414546966553,0.7686364054679871,0.1047951802611351,-2.0074691772460938,-4.753481388092041,-6.739048004150391,-7.9646992683410645,-8.167295455932617,-6.723963260650635,-3.8032100200653076,-1.6800744533538818,-1.2884994745254517,-0.4550700783729553,2.336160659790039,5.274593353271484,4.403226375579834,1.556505799293518,2.457584857940674,9.621198654174805,15.56272029876709,13.651576042175293,9.204462051391602,7.0024542808532715,8.15150260925293,9.339691162109375,9.951630592346191,10.35398006439209,10.82502269744873,11.187241554260254,11.368492126464844,11.443615913391113,11.499424934387207,11.548564910888672
4.0,5.192749977111816,5.818793773651123,6.052957534790039,6.276077747344971,6.530111312866211,6.62445068359375,6.633943557739258,6.619466304779053,6.5343427658081055,6.485620021820068,6.2776618003845215,5.706039905548096,4.920629978179932,4.189908981323242,3.6849899291992188,3.579261302947998,3.3715767860412598,3.172121524810791,2.3517909049987793,2.174556255340576,1.6904624700546265,0.36090460419654846,-0.3799569010734558,-0.6196427345275879,-0.6022104024887085,-0.34662359952926636,-0.3334226906299591,-0.02729511633515358,-0.13847514986991882,-0.6430851221084595,-0.8345057368278503,-0.755791425704956,-0.3406510055065155,0.5838799476623535,1.5570298433303833,1.8619835376739502,1.5200425386428833,0.8591452836990356,-0.2843082845211029,-1.3962281942367554,-1.9239901304244995,-1.5475969314575195,-0.5005501508712769,0.688666582107544,1.5635299682617188,2.0900354385375977,2.0702991485595703,1.4182113409042358,0.6118420362472534,-0.4342305362224579,-1.3745906352996826,-2.1559371948242188,-2.657680034637451,-3.0784943103790283,-2.6244399547576904,-1.2596654891967773,0.6903351545333862,2.0483500957489014,2.2890796661376953,2.2605812549591064,2.441291570663452,3.322848320007324,4.03885555267334,3.8430373668670654,3.4993462562561035,2.3356807231903076,1.105288028717041,0.05555175617337227,-0.23129186034202576,-0.6810337901115417,-1.9124183654785156,-2.8515894412994385,-2.1778910160064697,-1.0788280963897705,-1.3493155241012573,-3.8832390308380127,-3.605344772338867,-0.665053129196167,4.436420917510986,6.612456321716309,7.904925346374512,8.848817825317383,9.65034294128418,10.45820426940918,11.186104774475098,11.628778457641602,11.838658332824707,11.942927360534668,12.009458541870117
5.0,-0.8895929455757141,-0.9700483679771423,-0.982105553150177,-1.176698923110962,-1.2651461362838745,-1.374280571937561,-1.4964336156845093,-1.582032561302185,-1.7805683612823486,-2.0507888793945312,-2.136401653289795,-2.19067645072937,-2.0959131717681885,-1.9181902408599854,-1.6803659200668335,-1.1743640899658203,-0.6766954064369202,1.2684615850448608,3.4457602500915527,4.867910861968994,6.823815822601318,8.221414566040039,8.53481674194336,8.242377281188965,7.657605171203613,7.335962295532227,7.027257919311523,6.671965599060059,6.754837989807129,6.565964698791504,5.843173980712891,4.967670440673828,4.336835861206055,3.795905351638794,4.040765285491943,5.416777610778809,7.0760178565979,8.53515911102295,9.3406982421875,9.110953330993652,8.027737617492676,6.405426025390625,4.955712795257568,4.465710163116455,4.860421657562256,6.133506774902344,8.230573654174805,10.2730073928833,11.808506965637207,12.784625053405762,12.832128524780273,12.049471855163574,10.46950626373291,8.127010345458984,5.420791149139404,2.766418695449829,0.18827468156814575,-1.1831274032592773,-1.4376870393753052,-1.0366358757019043,-0.5008822679519653,0.3197292685508728,2.6030614376068115,5.786314010620117,9.276041984558105,12.350137710571289,14.886326789855957,16.575843811035156,17.46807861328125,17.846179962158203,17.64056968688965,16.783306121826172,15.387063026428223,13.643632888793945,12.914167404174805,11.486839294433594,8.92509651184082,5.04550838470459,1.0226187705993652,-0.3960472345352173,-0.8316100239753723,-0.7461186051368713,-0.7715627551078796,-1.1456841230392456,-1.4795536994934082,-1.6416877508163452,-1.7090016603469849,-1.733720064163208,-1.7460641860961914
6.0,7.329773902893066,7.77681827545166,7.867012977600098,7.925923824310303,7.928377628326416,8.007678031921387,8.037569046020508,7.639634132385254,6.941341400146484,6.153324604034424,5.485382080078125,5.003707408905029,4.339686393737793,2.9142820835113525,1.1869924068450928,0.938133180141449,1.2235535383224487,0.5524337291717529,-0.19030781090259552,0.5318864583969116,0.9355736970901489,0.49737805128097534,-0.1876550167798996,-0.12700112164020538,-0.005785331130027771,-0.3519848585128784,-0.2967070937156677,0.30601245164871216,0.25982245802879333,0.19138160347938538,0.2689412534236908,-0.16056443750858307,-0.7766404747962952,-0.7204132676124573,-0.2163897603750229,-0.041986241936683655,0.13653728365898132,0.6120339035987854,0.8460361957550049,0.4831351637840271,-0.20663248002529144,-0.6090741753578186,-0.8308669924736023,-0.995229184627533,-0.7173939347267151,-0.16787771880626678,-0.12324260175228119,-0.13033433258533478,0.216563418507576,0.32012149691581726,0.20775887370109558,0.2300194799900055,1.0725903511047363,1.8445746898651123,1.4585180282592773,0.5814458727836609,0.8001186847686768,1.7466485500335693,1.7099460363388062,0.4031499922275543,-0.36300021409988403,-0.3134188652038574,-0.06601408123970032,-0.24288327991962433,-0.12287832796573639,0.23686951398849487,0.0321071594953537,-1.044911503791809,-0.9309127926826477,0.23918461799621582,0.7208433747291565,-1.1833866834640503,-2.037418842315674,0.026308968663215637,4.753500461578369,5.871283531188965,5.6167893409729,5.724089622497559,8.597260475158691,10.628832817077637,12.222769737243652,13.074522972106934,13.544455528259277,14.051219940185547,14.550044059753418,14.867805480957031,15.033598899841309,15.129437446594238,15.197778701782227
7.0,-7.8142170906066895,-8.588045120239258,-9.00653076171875,-9.158976554870605,-9.326598167419434,-9.186376571655273,-9.273411750793457,-9.462003707885742,-9.27091121673584,-8.749631881713867,-7.754483222961426,-6.583970546722412,-5.860374450683594,-5.3077616691589355,-4.120174884796143,-2.304229974746704,-0.9651693105697632,0.2915664613246918,3.044898271560669,5.155654430389404,6.826400279998779,8.480987548828125,9.18389892578125,9.03424072265625,8.275134086608887,7.866450786590576,7.754427433013916,7.193406105041504,7.2196784019470215,7.184200763702393,6.38629674911499,5.33030891418457,4.504969596862793,4.049163341522217,4.119415283203125,5.331607341766357,7.292675495147705,8.957837104797363,10.020855903625488,9.992069244384766,8.97834587097168,7.174118995666504,5.218419075012207,4.435661315917969,5.105423450469971,6.385651588439941,8.24502182006836,10.614678382873535,12.638358116149902,13.798116683959961,14.04360294342041,13.355137825012207,11.687371253967285,9.017855644226074,5.175482749938965,1.0832676887512207,-1.600116491317749,-2.521531343460083,-2.660170793533325,-2.623769521713257,-1.5372689962387085,-0.15396082401275635,1.9689301252365112,5.316052436828613,9.119073867797852,12.820281982421875,15.647047996520996,17.73291015625,18.89007568359375,19.46189308166504,19.38249969482422,18.420347213745117,17.060585021972656,15.131214141845703,13.723769187927246,11.801835060119629,6.256552696228027,-2.6740477085113525,-8.971720695495605,-10.784284591674805,-12.221539497375488,-13.884698867797852,-14.977884292602539,-15.634377479553223,-16.181259155273438,-16.5180721282959,-16.70241355895996,-16.81558609008789,-16.898887634277344
8.0,8.318058967590332,8.96826171875,9.234359741210938,9.4508695602417,9.616199493408203,9.645506858825684,9.6597261428833,9.50496768951416,9.084877014160156,8.517688751220703,7.7975969314575195,6.9161248207092285,5.982611656188965,5.0022687911987305,4.970518112182617,5.97725772857666,7.780043601989746,10.5482177734375,12.685988426208496,14.81171989440918,16.275114059448242,16.185531616210938,15.473822593688965,14.516996383666992,13.89447021484375,13.65827751159668,13.127198219299316,12.793034553527832,12.216507911682129,10.93414306640625,9.487439155578613,8.731022834777832,8.896492004394531,10.192967414855957,12.67426872253418,15.206239700317383,16.80462074279785,17.25349998474121,16.12506866455078,13.831570625305176,11.254739761352539,9.64187240600586,9.955741882324219,11.841692924499512,14.493066787719727,17.803489685058594,20.769933700561523,22.50054359436035,23.095661163330078,22.369991302490234,20.325340270996094,17.105484008789062,13.168277740478516,8.894526481628418,5.49329137802124,3.068932056427002,2.3207669258117676,2.622030735015869,2.9865503311157227,3.9726450443267822,6.379471302032471,10.584049224853516,15.890995979309082,21.271392822265625,25.899715423583984,28.83285903930664,30.86438751220703,31.866418838500977,32.07186508178711,31.04010772705078,28.887636184692383,26.51750946044922,24.790807723999023,22.925935745239258,20.043466567993164,14.923130989074707,10.254735946655273,7.53742790222168,9.404040336608887,11.678671836853027,13.31656551361084,14.475257873535156,15.458134651184082,16.4281005859375,17.13787269592285,17.523439407348633,17.732614517211914,17.85531234741211,17.94307518005371
9.0,7.9904279708862305,8.33829402923584,8.582624435424805,8.953627586364746,9.13424015045166,9.165817260742188,9.021437644958496,8.798747062683105,8.622980117797852,8.319026947021484,7.6369757652282715,6.506815433502197,5.246350288391113,4.204727649688721,4.1074934005737305,4.622849941253662,4.332605838775635,3.8787760734558105,4.179080486297607,4.669909954071045,3.2968814373016357,1.7157864570617676,1.3129868507385254,1.256392478942871,1.1823859214782715,1.1593384742736816,1.5929713249206543,1.6456221342086792,0.8948519825935364,0.40548551082611084,0.14388540387153625,0.022393617779016495,0.966727077960968,2.6077184677124023,3.735179901123047,4.015976905822754,3.9058735370635986,2.96480131149292,1.188232421875,-0.402230829000473,-0.9529650211334229,-0.2580428421497345,1.065670132637024,2.833940029144287,4.348766326904297,4.969603061676025,4.933797359466553,4.554832935333252,3.6712191104888916,2.1199772357940674,0.7789715528488159,-0.23735642433166504,-1.117309331893921,-2.3234708309173584,-2.7063260078430176,-0.7046996355056763,1.8400565385818481,2.825031280517578,2.235883951187134,2.392402172088623,3.768169403076172,5.803076267242432,6.662887096405029,7.2135396003723145,7.488158226013184,6.5252156257629395,4.913283824920654,4.1326375007629395,4.67239236831665,3.7972047328948975,1.188625693321228,-0.13897806406021118,1.709926724433899,3.3729093074798584,1.3103798627853394,-3.138024091720581,-2.941519260406494,2.9742631912231445,8.627498626708984,11.128555297851562,12.399206161499023,13.422743797302246,14.568856239318848,15.706221580505371,16.39104652404785,16.709972381591797,16.845407485961914,16.93694496154785,17.013521194458008
