filter,value#0,value#1,value#2,value#3,value#4,value#5,value#6,value#7,value#8,value#9,value#10,value#11,value#12,value#13,value#14,value#15,value#16,value#17,value#18,value#19,value#20,value#21,value#22,value#23,value#24,value#25,value#26,value#27,value#28
0.0,0.9769160747528076,0.9746888875961304,0.9375256299972534,0.8289281129837036,1.9995155334472656,9.272467613220215,15.57611083984375,15.767212867736816,13.849831581115723,12.616446495056152,9.34659194946289,14.689085960388184,16.788461685180664,13.684260368347168,14.27225399017334,22.110294342041016,22.768314361572266,17.12281036376953,5.075423240661621,2.5199522972106934,14.801753997802734,28.10953712463379,32.121742248535156,30.701068878173828,25.590682983398438,13.59138011932373,1.6690115928649902,1.5993849039077759,1.5559338331222534
1.0,10.412259101867676,10.892435073852539,10.974533081054688,9.573541641235352,6.933512210845947,1.3027615547180176,2.0962281227111816,2.7958173751831055,2.4859111309051514,2.570401430130005,2.691538095474243,0.04180076718330383,3.7792441844940186,4.179762363433838,0.7300427556037903,1.0802063941955566,4.22296667098999,6.469428062438965,5.594244480133057,2.824197769165039,-0.9536471366882324,1.3283395767211914,2.5499677658081055,6.527830123901367,9.656904220581055,12.623217582702637,14.84721851348877,18.349714279174805,20.015254974365234
2.0,-1.3634727001190186,-1.5666874647140503,-1.4345216751098633,-1.1549694538116455,-0.6590292453765869,-0.7069854140281677,-0.9755013585090637,-1.1020574569702148,-0.9511793851852417,-0.8481963872909546,-0.6934216618537903,-0.9134039282798767,-1.100570559501648,-0.8868653178215027,-0.8883596658706665,-1.183728575706482,-1.4733836650848389,-0.8805404901504517,-0.49540674686431885,-0.34127670526504517,-0.762044370174408,-1.577069878578186,-2.001563310623169,-1.8299987316131592,-1.4870023727416992,-1.3840969800949097,-1.6209439039230347,-2.3839004039764404,-2.8771450519561768
3.0,5.730545997619629,5.811279296875,5.712651252746582,4.199774265289307,2.370363712310791,-2.5805165767669678,-1.1524512767791748,1.372214913368225,1.394421100616455,1.9871553182601929,2.397275447845459,-2.336481809616089,2.5265769958496094,4.14322566986084,-0.4782310128211975,-2.4255154132843018,3.7051315307617188,8.728571891784668,7.272354602813721,0.7686364054679871,-4.753481388092041,-3.8032100200653076,-0.4550700783729553,5.274593353271484,9.621198654174805,15.56272029876709,9.339691162109375,10.82502269744873,11.443615913391113
4.0,6.052957534790039,6.62445068359375,6.633943557739258,6.485620021820068,4.920629978179932,3.579261302947998,2.3517909049987793,0.36090460419654846,-0.3334226906299591,-0.02729511633515358,-0.3406510055065155,1.8619835376739502,1.5200425386428833,-1.3962281942367554,1.5635299682617188,2.0900354385375977,0.6118420362472534,-2.1559371948242188,0.6903351545333862,2.2890796661376953,4.03885555267334,3.8430373668670654,1.105288028717041,-0.6810337901115417,-1.0788280963897705,-0.665053129196167,7.904925346374512,10.45820426940918,11.838658332824707
5.0,-0.8895929455757141,-1.176698923110962,-1.4964336156845093,-2.0507888793945312,-1.6803659200668335,1.2684615850448608,6.823815822601318,8.53481674194336,7.657605171203613,6.754837989807129,5.843173980712891,5.416777610778809,9.3406982421875,9.110953330993652,4.955712795257568,10.2730073928833,12.832128524780273,12.049471855163574,5.420791149139404,-1.0366358757019043,2.6030614376068115,12.350137710571289,17.46807861328125,17.846179962158203,15.387063026428223,11.486839294433594,1.0226187705993652,-0.7461186051368713,-1.4795536994934082
6.0,7.867012977600098,8.007678031921387,8.037569046020508,6.153324604034424,4.339686393737793,1.2235535383224487,0.9355736970901489,0.49737805128097534,-0.005785331130027771,0.30601245164871216,0.2689412534236908,-0.041986241936683655,0.8460361957550049,0.4831351637840271,-0.7173939347267151,-0.12324260175228119,0.32012149691581726,1.8445746898651123,1.4585180282592773,1.7466485500335693,-0.06601408123970032,0.23686951398849487,0.0321071594953537,0.7208433747291565,4.753500461578369,5.871283531188965,12.222769737243652,14.051219940185547,15.033598899841309
7.0,-7.8142170906066895,-9.158976554870605,-9.27091121673584,-6.583970546722412,-4.120174884796143,0.2915664613246918,6.826400279998779,9.18389892578125,8.275134086608887,7.2196784019470215,6.38629674911499,5.331607341766357,10.020855903625488,9.992069244384766,5.218419075012207,10.614678382873535,14.04360294342041,13.355137825012207,5.175482749938965,-2.521531343460083,1.9689301252365112,12.820281982421875,18.89007568359375,19.46189308166504,17.060585021972656,11.801835060119629,-8.971720695495605,-13.884698867797852,-16.181259155273438
8.0,9.234359741210938,9.645506858825684,9.6597261428833,8.517688751220703,5.982611656188965,10.5482177734375,16.275114059448242,16.185531616210938,13.89447021484375,12.793034553527832,9.487439155578613,15.206239700317383,17.25349998474121,13.831570625305176,14.493066787719727,22.50054359436035,23.095661163330078,17.105484008789062,5.49329137802124,3.9726450443267822,15.890995979309082,28.83285903930664,32.07186508178711,31.04010772705078,24.790807723999023,14.923130989074707,13.31656551361084,16.4281005859375,17.732614517211914
9.0,8.582624435424805,9.165817260742188,9.021437644958496,8.319026947021484,5.246350288391113,4.622849941253662,4.669909954071045,1.7157864570617676,1.5929713249206543,1.6456221342086792,0.966727077960968,4.015976905822754,3.9058735370635986,-0.2580428421497345,4.348766326904297,4.969603061676025,3.6712191104888916,-0.23735642433166504,1.8400565385818481,2.825031280517578,6.662887096405029,7.488158226013184,4.913283824920654,3.7972047328948975,3.3729093074798584,2.9742631912231445,12.399206161499023,15.706221580505371,16.845407485961914
